code	num	name	unicode_pva	unicode_version	status
Orya	327	Oriya (Odia)	Oriya	1.1	seeded
Osge	219	Osage	Osage	9.0	encoded
Osma	260	Osmanya	Osmanya	4.0	encoded
Ougr	143	Old Uyghur	Old_Uyghur	14.0	encoded
Palm	126	Palmyrene	Palmyrene	7.0	encoded
Pauc	263	Pau Cin Hau	Pau_Cin_Hau	7.0	seeded
Pcun	015	Proto-Cuneiform			pending
Pelm	016	Proto-Elamite			pending
Perm	227	Old Permic	Old_Permic	7.0	encoded
Phag	331	Phags-pa	Phags_Pa	5.0	encoded
Phli	131	Inscriptional Pahlavi	Inscriptional_Pahlavi	5.2	encoded
Phlp	132	Psalter Pahlavi	Psalter_Pahlavi	7.0	encoded
Phlv	133	Book Pahlavi			pending
Phnx	115	Phoenician	Phoenician	5.0	encoded
Plrd	282	Miao (Pollard)	Miao	6.1	encoded
Piqd	293	Klingon (KLI pIqaD)			pending
Prti	130	Inscriptional Parthian	Inscriptional_Parthian	5.2	encoded
Psin	103	Proto-Sinaitic			pending
Qaaa	900	Reserved for private use (start)			pending
Qabx	949	Reserved for private use (end)			pending
Ranj	303	Ranjana			pending
Rjng	363	Rejang (Redjang, Kaganga)	Rejang	5.1	seeded
Rohg	167	Hanifi Rohingya	Hanifi_Rohingya	11.0	encoded
Roro	620	Rongorongo			pending
Runr	211	Runic	Runic	3.0	encoded
Samr	123	Samaritan	Samaritan	5.2	encoded
Sara	292	Sarati			pending
Sarb	105	Old South Arabian	Old_South_Arabian	5.2	encoded
Saur	344	Saurashtra	Saurashtra	5.1	seeded
Seal	590	(Small) Seal			pending
Sgnw	095	SignWriting	SignWriting	8.0	encoded
Shaw	281	Shavian (Shaw)	Shavian	4.0	encoded
Shrd	319	Sharada	Sharada	6.1	seeded
Shui	530	Shuishu			pending
Sidd	302	Siddham	Siddham	7.0	seeded
Sidt	180	Sidetic			pending
Sind	318	Khudawadi, Sindhi	Khudawadi	7.0	seeded
Sinh	348	Sinhala	Sinhala	3.0	seeded
Sogd	141	Sogdian	Sogdian	11.0	encoded
Sogo	142	Old Sogdian	Old_Sogdian	11.0	encoded
Sora	398	Sora Sompeng	Sora_Sompeng	6.1	encoded
Soyo	329	Soyombo	Soyombo	10.0	seeded
Sund	362	Sundanese	Sundanese	5.1	seeded
Sunu	274	Sunuwar	Sunuwar	16.0	encoded
Sylo	316	Syloti Nagri	Syloti_Nagri	4.1	seeded
Syrc	135	Syriac	Syriac	3.0	seeded
Syre	138	Syriac (Estrangelo variant)		3.0	seeded
Syrj	137	Syriac (Western variant)		3.0	seeded
Syrn	136	Syriac (Eastern variant)		3.0	seeded
Tagb	373	Tagbanwa	Tagbanwa	3.2	seeded
Takr	321	Takri	Takri	6.1	seeded
Tale	353	Tai Le	Tai_Le	4.0	seeded
Talu	354	New Tai Lue	New_Tai_Lue	4.1	seeded
Taml	346	Tamil	Tamil	1.1	seeded
Tang	520	Tangut	Tangut	9.0	encoded
Tavt	359	Tai Viet	Tai_Viet	5.2	seeded
Tayo	380	Tai Yo			pending
Telu	340	Telugu	Telugu	1.1	seeded
Teng	290	Tengwar			pending
Tfng	120	Tifinagh (Berber)	Tifinagh	4.1	encoded
Tglg	370	Tagalog (Baybayin, Alibata)	Tagalog	3.2	seeded
Thaa	170	Thaana	Thaana	3.0	encoded
Thai	352	Thai	Thai	1.1	encoded
Tibt	330	Tibetan	Tibetan	2.0	seeded
Tirh	326	Tirhuta	Tirhuta	7.0	seeded
Tnsa	275	Tangsa	Tangsa	14.0	seeded
Todr	229	Todhri	Todhri	16.0	encoded
Tols	299	Tolong Siki			pending
Toto	294	Toto	Toto	14.0	seeded
Tutg	341	Tulu-Tigalari	Tulu_Tigalari	16.0	encoded
Ugar	040	Ugaritic	Ugaritic	4.0	encoded
Vaii	470	Vai	Vai	5.1	encoded
Visp	280	Visible Speech			pending
Vith	228	Vithkuqi	Vithkuqi	14.0	encoded
Wara	262	Warang Citi	Warang_Citi	7.0	encoded
Wcho	283	Wancho	Wancho	12.0	seeded
Wole	480	Woleai			pending
Xpeo	030	Old Persian	Old_Persian	4.1	encoded
Xsux	020	Cuneiform, Sumero-Akkadian	Cuneiform	5.0	encoded
Yezi	192	Yezidi	Yezidi	13.0	encoded
Yiii	460	Yi	Yi	3.0	encoded
Zanb	339	Zanabazar Square	Zanabazar_Square	10.0	seeded
Zinh	994	Code for inherited script	Inherited		pending
Zmth	995	Mathematical notation		3.2	encoded
Zsye	993	Symbols (Emoji variant)		6.0	encoded
Zsym	996	Symbols		1.1	encoded
Zxxx	997	Code for unwritten documents			pending
Zyyy	998	Code for undetermined script	Common		pending
Zzzz	999	Code for uncoded script	Unknown		pending
