code	name	type	scope	status
crk	Plains Cree	living	individual	pending
crl	Northern East Cree	living	individual	pending
crm	Moose Cree	living	individual	pending
crn	El Nayar Cora	living	individual	pending
cro	Crow	living	individual	pending
crq	Iyo'wujwa Chorote	living	individual	pending
crr	Carolina Algonquian	extinct	individual	pending
crs	Seselwa Creole French	living	individual	pending
crt	Iyojwa'ja Chorote	living	individual	pending
crv	Chaura	living	individual	pending
crw	Chrau	living	individual	pending
crx	Carrier	living	individual	pending
cry	Cori	living	individual	pending
crz	Cruzeño	extinct	individual	pending
csa	Chiltepec Chinantec	living	individual	pending
csb	Kashubian	living	individual	pending
csc	Catalan Sign Language	living	individual	pending
csd	Chiangmai Sign Language	living	individual	pending
cse	Czech Sign Language	living	individual	pending
csf	Cuba Sign Language	living	individual	pending
csg	Chilean Sign Language	living	individual	pending
csh	Asho Chin	living	individual	pending
csi	Coast Miwok	extinct	individual	pending
csj	Songlai Chin	living	individual	pending
csk	Jola-Kasa	living	individual	pending
csl	Chinese Sign Language	living	individual	pending
csm	Central Sierra Miwok	living	individual	pending
csn	Colombian Sign Language	living	individual	pending
cso	Sochiapam Chinantec	living	individual	pending
csp	Southern Ping Chinese	living	individual	pending
csq	Croatia Sign Language	living	individual	pending
csr	Costa Rican Sign Language	living	individual	pending
css	Southern Ohlone	extinct	individual	pending
cst	Northern Ohlone	living	individual	pending
csv	Sumtu Chin	living	individual	pending
csw	Swampy Cree	living	individual	pending
csy	Siyin Chin	living	individual	pending
csz	Coos	living	individual	pending
cta	Tataltepec Chatino	living	individual	pending
ctc	Chetco	extinct	individual	pending
ctd	Tedim Chin	living	individual	pending
cte	Tepinapa Chinantec	living	individual	pending
ctg	Chittagonian	living	individual	pending
cth	Thaiphum Chin	living	individual	pending
ctl	Tlacoatzintepec Chinantec	living	individual	pending
ctm	Chitimacha	extinct	individual	pending
ctn	Chhintange	living	individual	pending
cto	Emberá-Catío	living	individual	pending
ctp	Western Highland Chatino	living	individual	pending
cts	Northern Catanduanes Bikol	living	individual	pending
ctt	Wayanad Chetti	living	individual	pending
ctu	Chol	living	individual	pending
ctz	Zacatepec Chatino	living	individual	pending
cua	Cua	living	individual	pending
cub	Cubeo	living	individual	pending
cuc	Usila Chinantec	living	individual	pending
cug	Chungmboko	living	individual	pending
cuh	Chuka	living	individual	pending
cui	Cuiba	living	individual	pending
cuj	Mashco Piro	living	individual	pending
cuk	San Blas Kuna	living	individual	pending
cul	Culina	living	individual	pending
cuo	Cumanagoto	extinct	individual	pending
cup	Cupeño	extinct	individual	pending
cuq	Cun	living	individual	pending
cur	Chhulung	living	individual	pending
cut	Teutila Cuicatec	living	individual	pending
cuu	Tai Ya	living	individual	pending
cuv	Cuvok	living	individual	pending
cuw	Chukwa	living	individual	pending
cux	Tepeuxila Cuicatec	living	individual	pending
cuy	Cuitlatec	living	individual	pending
cvg	Chug	living	individual	pending
cvn	Valle Nacional Chinantec	living	individual	pending
cwa	Kabwa	living	individual	pending
cwb	Maindo	living	individual	pending
cwd	Woods Cree	living	individual	pending
cwe	Kwere	living	individual	pending
cwg	Chewong	living	individual	pending
cwt	Kuwaataay	living	individual	pending
cya	Nopala Chatino	living	individual	pending
cyb	Cayubaba	extinct	individual	pending
cym	Welsh	living	individual	pending
cyo	Cuyonon	living	individual	pending
czh	Huizhou Chinese	living	individual	pending
czk	Knaanic	extinct	individual	pending
czn	Zenzontepec Chatino	living	individual	pending
czo	Min Zhong Chinese	living	individual	pending
czt	Zotung Chin	living	individual	pending
daa	Dangaléat	living	individual	pending
dac	Dambi	living	individual	pending
dad	Marik	living	individual	pending
dae	Duupa	living	individual	pending
dag	Dagbani	living	individual	pending
dah	Gwahatike	living	individual	pending
dai	Day	living	individual	pending
daj	Dar Fur Daju	living	individual	pending
dak	Dakota	living	individual	pending
dal	Dahalo	living	individual	pending
dam	Damakawa	living	individual	pending
dan	Danish	living	individual	pending
dao	Daai Chin	living	individual	pending
daq	Dandami Maria	living	individual	pending
dar	Dargwa	living	individual	pending
das	Daho-Doo	living	individual	pending
dau	Dar Sila Daju	living	individual	pending
dav	Taita	living	individual	pending
daw	Davawenyo	living	individual	pending
dax	Dayi	living	individual	pending
daz	Dao	living	individual	pending
dba	Bangime	living	individual	pending
dbb	Deno	living	individual	pending
dbd	Dadiya	living	individual	pending
dbe	Dabe	living	individual	pending
dbf	Edopi	living	individual	pending
dbg	Dogul Dom Dogon	living	individual	pending
dbi	Doka	living	individual	pending
dbj	Ida'an	living	individual	pending
dbl	Dyirbal	living	individual	pending
dbm	Duguri	living	individual	pending
dbn	Duriankere	living	individual	pending
dbo	Dulbu	living	individual	pending
dbp	Duwai	living	individual	pending
dbq	Daba	living	individual	pending
dbr	Dabarre	living	individual	pending
dbt	Ben Tey Dogon	living	individual	pending
dbu	Bondum Dom Dogon	living	individual	pending
dbv	Dungu	living	individual	pending
dbw	Bankan Tey Dogon	living	individual	pending
dby	Dibiyaso	living	individual	pending
dcc	Deccan	living	individual	pending
dcr	Negerhollands	extinct	individual	pending
dda	Dadi Dadi	extinct	individual	pending
ddd	Dongotono	living	individual	pending
dde	Doondo	living	individual	pending
ddg	Fataluku	living	individual	pending
ddi	West Goodenough	living	individual	pending
ddj	Jaru	living	individual	pending
ddn	Dendi (Benin)	living	individual	pending
ddo	Dido	living	individual	pending
ddr	Dhudhuroa	extinct	individual	pending
dds	Donno So Dogon	living	individual	pending
ddw	Dawera-Daweloor	living	individual	pending
dec	Dagik	living	individual	pending
ded	Dedua	living	individual	pending
dee	Dewoin	living	individual	pending
def	Dezfuli	living	individual	pending
deg	Degema	living	individual	pending
deh	Dehwari	living	individual	pending
dei	Demisa	living	individual	pending
dek	Dek	living	individual	pending
del	Delaware	living	macrolanguage	pending
dem	Dem	living	individual	pending
den	Slave (Athapascan)	living	macrolanguage	pending
dep	Pidgin Delaware	extinct	individual	pending
deq	Dendi (Central African Republic)	living	individual	pending
der	Deori	living	individual	pending
des	Desano	living	individual	pending
deu	German	living	individual	pending
dev	Domung	living	individual	pending
dez	Dengese	living	individual	pending
dga	Southern Dagaare	living	individual	pending
dgb	Bunoge Dogon	living	individual	pending
dgc	Casiguran Dumagat Agta	living	individual	pending
dgd	Dagaari Dioula	living	individual	pending
dge	Degenan	living	individual	pending
dgg	Doga	living	individual	pending
dgh	Dghwede	living	individual	pending
dgi	Northern Dagara	living	individual	pending
dgk	Dagba	living	individual	pending
dgl	Andaandi	living	individual	pending
dgn	Dagoman	extinct	individual	pending
dgo	Dogri (individual language)	living	individual	pending
dgr	Dogrib	living	individual	pending
dgs	Dogoso	living	individual	pending
dgt	Ndra'ngith	extinct	individual	pending
dgw	Daungwurrung	extinct	individual	pending
dgx	Doghoro	living	individual	pending
dgz	Daga	living	individual	pending
dhd	Dhundari	living	individual	pending
dhg	Dhangu-Djangu	living	individual	pending
dhi	Dhimal	living	individual	pending
dhl	Dhalandji	living	individual	pending
dhm	Zemba	living	individual	pending
dhn	Dhanki	living	individual	pending
dho	Dhodia	living	individual	pending
dhr	Dhargari	living	individual	pending
dhs	Dhaiso	living	individual	pending
dhu	Dhurga	extinct	individual	pending
dhv	Dehu	living	individual	pending
dhw	Dhanwar (Nepal)	living	individual	pending
dhx	Dhungaloo	living	individual	pending
dia	Dia	living	individual	pending
dib	South Central Dinka	living	individual	pending
dic	Lakota Dida	living	individual	pending
did	Didinga	living	individual	pending
dif	Dieri	extinct	individual	pending
dig	Digo	living	individual	pending
dih	Kumiai	living	individual	pending
dii	Dimbong	living	individual	pending
dij	Dai	living	individual	pending
dik	Southwestern Dinka	living	individual	pending
dil	Dilling	living	individual	pending
dim	Dime	living	individual	pending
din	Dinka	living	macrolanguage	pending
dio	Dibo	living	individual	pending
dip	Northeastern Dinka	living	individual	pending
diq	Dimli (individual language)	living	individual	pending
dir	Dirim	living	individual	pending
dis	Dimasa	living	individual	pending
diu	Diriku	living	individual	pending
div	Dhivehi	living	individual	pending
diw	Northwestern Dinka	living	individual	pending
dix	Dixon Reef	living	individual	pending
diy	Diuwe	living	individual	pending
diz	Ding	living	individual	pending
dja	Djadjawurrung	extinct	individual	pending
djb	Djinba	living	individual	pending
djc	Dar Daju Daju	living	individual	pending
djd	Djamindjung	living	individual	pending
dje	Zarma	living	individual	pending
djf	Djangun	extinct	individual	pending
dji	Djinang	living	individual	pending
djj	Djeebbana	living	individual	pending
djk	Eastern Maroon Creole	living	individual	pending
djm	Jamsay Dogon	living	individual	pending
djn	Jawoyn	living	individual	pending
djo	Jangkang	living	individual	pending
djr	Djambarrpuyngu	living	individual	pending
dju	Kapriman	living	individual	pending
djw	Djawi	extinct	individual	pending
dka	Dakpakha	living	individual	pending
dkk	Dakka	living	individual	pending
dkr	Kuijau	living	individual	pending
dks	Southeastern Dinka	living	individual	pending
dkx	Mazagway	living	individual	pending
dlg	Dolgan	living	individual	pending
dlk	Dahalik	living	individual	pending
dlm	Dalmatian	extinct	individual	pending
dln	Darlong	living	individual	pending
dma	Duma	living	individual	pending
dmb	Mombo Dogon	living	individual	pending
dmc	Gavak	living	individual	pending
dmd	Madhi Madhi	extinct	individual	pending
dme	Dugwor	living	individual	pending
dmf	Medefaidrin	extinct	individual	pending
dmg	Upper Kinabatangan	living	individual	pending
dmk	Domaaki	living	individual	pending
dml	Dameli	living	individual	pending
dmm	Dama	living	individual	pending
dmo	Kemedzung	living	individual	pending
dmr	East Damar	living	individual	pending
dms	Dampelas	living	individual	pending
dmu	Dubu	living	individual	pending
dmv	Dumpas	living	individual	pending
dmw	Mudburra	living	individual	pending
dmx	Dema	living	individual	pending
dmy	Demta	living	individual	pending
dna	Upper Grand Valley Dani	living	individual	pending
dnd	Daonda	living	individual	pending
dne	Ndendeule	living	individual	pending
dng	Dungan	living	individual	pending
dni	Lower Grand Valley Dani	living	individual	pending
dnj	Dan	living	individual	pending
dnk	Dengka	living	individual	pending
dnn	Dzùùngoo	living	individual	pending
dno	Ndrulo	living	individual	pending
dnr	Danaru	living	individual	pending
dnt	Mid Grand Valley Dani	living	individual	pending
dnu	Danau	living	individual	pending
dnv	Danu	living	individual	pending
dnw	Western Dani	living	individual	pending
dny	Dení	living	individual	pending
doa	Dom	living	individual	pending
dob	Dobu	living	individual	pending
doc	Northern Dong	living	individual	pending
doe	Doe	living	individual	pending
dof	Domu	living	individual	pending
doh	Dong	living	individual	pending
doi	Dogri (macrolanguage)	living	macrolanguage	pending
dok	Dondo	living	individual	pending
dol	Doso	living	individual	pending
don	Toura (Papua New Guinea)	living	individual	pending
doo	Dongo	living	individual	pending
dop	Lukpa	living	individual	pending
doq	Dominican Sign Language	living	individual	pending
dor	Dori'o	living	individual	pending
dos	Dogosé	living	individual	pending
dot	Dass	living	individual	pending
dov	Dombe	living	individual	pending
dow	Doyayo	living	individual	pending
dox	Bussa	living	individual	pending
doy	Dompo	living	individual	pending
doz	Dorze	living	individual	pending
dpp	Papar	living	individual	pending
drb	Dair	living	individual	pending
drc	Minderico	living	individual	pending
drd	Darmiya	living	individual	pending
dre	Dolpo	living	individual	pending
drg	Rungus	living	individual	pending
dri	C'Lela	living	individual	pending
drl	Paakantyi	living	individual	pending
drn	West Damar	living	individual	pending
dro	Daro-Matu Melanau	living	individual	pending
drq	Dura	extinct	individual	pending
drs	Gedeo	living	individual	pending
drt	Drents	living	individual	pending
dru	Rukai	living	individual	pending
dry	Darai	living	individual	pending
dsb	Lower Sorbian	living	individual	pending
dse	Dutch Sign Language	living	individual	pending
dsh	Daasanach	living	individual	pending
dsi	Disa	living	individual	pending
dsl	Danish Sign Language	living	individual	pending
dsn	Dusner	extinct	individual	pending
dso	Desiya	living	individual	pending
dsq	Tadaksahak	living	individual	pending
dta	Daur	living	individual	pending
dtb	Labuk-Kinabatangan Kadazan	living	individual	pending
dtd	Ditidaht	living	individual	pending
dth	Adithinngithigh	extinct	individual	pending
dti	Ana Tinga Dogon	living	individual	pending
dtk	Tene Kan Dogon	living	individual	pending
dtm	Tomo Kan Dogon	living	individual	pending
dtn	Daatsʼíin	living	individual	pending
dto	Tommo So Dogon	living	individual	pending
dtp	Kadazan Dusun	living	individual	pending
dtr	Lotud	living	individual	pending
dts	Toro So Dogon	living	individual	pending
dtt	Toro Tegu Dogon	living	individual	pending
dtu	Tebul Ure Dogon	living	individual	pending
dty	Dotyali	living	individual	pending
dua	Duala	living	individual	pending
dub	Dubli	living	individual	pending
duc	Duna	living	individual	pending
due	Umiray Dumaget Agta	living	individual	pending
duf	Dumbea	living	individual	pending
dug	Duruma	living	individual	pending
duh	Dungra Bhil	living	individual	pending
dui	Dumun	living	individual	pending
duk	Uyajitaya	living	individual	pending
dul	Alabat Island Agta	living	individual	pending
dum	Middle Dutch (ca. 1050-1350)	historical	individual	pending
dun	Dusun Deyah	living	individual	pending
duo	Dupaninan Agta	living	individual	pending
dup	Duano	living	individual	pending
duq	Dusun Malang	living	individual	pending
dur	Dii	living	individual	pending
dus	Dumi	living	individual	pending
duu	Drung	living	individual	pending
duv	Duvle	living	individual	pending
duw	Dusun Witu	living	individual	pending
dux	Duungooma	living	individual	pending
duy	Dicamay Agta	extinct	individual	pending
duz	Duli-Gey	extinct	individual	pending
dva	Duau	living	individual	pending
dwa	Diri	living	individual	pending
dwk	Dawik Kui	living	individual	pending
dwr	Dawro	living	individual	pending
dws	Dutton World Speedwords	constructed	individual	pending
dwu	Dhuwal	living	individual	pending
dww	Dawawa	living	individual	pending
dwy	Dhuwaya	living	individual	pending
dwz	Dewas Rai	living	individual	pending
dya	Dyan	living	individual	pending
dyb	Dyaberdyaber	extinct	individual	pending
dyd	Dyugun	extinct	individual	pending
dyg	Villa Viciosa Agta	extinct	individual	pending
dyi	Djimini Senoufo	living	individual	pending
dym	Yanda Dom Dogon	living	individual	pending
dyn	Dyangadi	living	individual	pending
dyo	Jola-Fonyi	living	individual	pending
dyu	Dyula	living	individual	pending
dyy	Djabugay	living	individual	pending
dza	Tunzu	living	individual	pending
dze	Djiwarli	extinct	individual	pending
dzg	Dazaga	living	individual	pending
dzl	Dzalakha	living	individual	pending
dzn	Dzando	living	individual	pending
dzo	Dzongkha	living	individual	seeded
eaa	Karenggapa	extinct	individual	pending
ebc	Beginci	living	individual	pending
ebg	Ebughu	living	individual	pending
ebk	Eastern Bontok	living	individual	pending
ebo	Teke-Ebo	living	individual	pending
ebr	Ebrié	living	individual	pending
ebu	Embu	living	individual	pending
ecr	Eteocretan	ancient	individual	pending
ecs	Ecuadorian Sign Language	living	individual	pending
ecy	Eteocypriot	ancient	individual	pending
eee	E	living	individual	pending
efa	Efai	living	individual	pending
efe	Efe	living	individual	pending
efi	Efik	living	individual	pending
ega	Ega	living	individual	pending
egl	Emilian	living	individual	pending
ego	Eggon	living	individual	pending
egy	Egyptian (Ancient)	ancient	individual	pending
ehu	Ehueun	living	individual	pending
eip	Eipomek	living	individual	pending
eit	Eitiep	living	individual	pending
eiv	Askopan	living	individual	pending
eja	Ejamat	living	individual	pending
eka	Ekajuk	living	individual	pending
eke	Ekit	living	individual	pending
ekg	Ekari	living	individual	pending
eki	Eki	living	individual	pending
ekk	Standard Estonian	living	individual	pending
ekl	Kol (Bangladesh)	living	individual	pending
ekm	Elip	living	individual	pending
eko	Koti	living	individual	pending
ekp	Ekpeye	living	individual	pending
ekr	Yace	living	individual	pending
eky	Eastern Kayah	living	individual	pending
ele	Elepi	living	individual	pending
elh	El Hugeirat	living	individual	pending
eli	Nding	extinct	individual	pending
elk	Elkei	living	individual	pending
ell	Modern Greek (1453-)	living	individual	pending
elm	Eleme	living	individual	pending
elo	El Molo	living	individual	pending
elu	Elu	living	individual	pending
elx	Elamite	ancient	individual	pending
ema	Emai-Iuleha-Ora	living	individual	pending
emb	Embaloh	living	individual	pending
eme	Emerillon	living	individual	pending
emg	Eastern Meohang	living	individual	pending
emi	Mussau-Emira	living	individual	pending
emk	Eastern Maninkakan	living	individual	pending
emm	Mamulique	extinct	individual	pending
emn	Eman	living	individual	pending
emp	Northern Emberá	living	individual	pending
ems	Pacific Gulf Yupik	living	individual	pending
emu	Eastern Muria	living	individual	pending
emw	Emplawas	living	individual	pending
emx	Erromintxela	living	individual	pending
emy	Epigraphic Mayan	ancient	individual	pending
ena	Apali	living	individual	pending
enb	Markweeta	living	individual	pending
enc	En	living	individual	pending
end	Ende	living	individual	pending
enf	Forest Enets	living	individual	pending
eng	English	living	individual	pending
enh	Tundra Enets	living	individual	pending
enl	Enlhet	living	individual	pending
enm	Middle English (1100-1500)	historical	individual	pending
enn	Engenni	living	individual	pending
eno	Enggano	living	individual	pending
enq	Enga	living	individual	pending
enr	Emumu	living	individual	pending
enu	Enu	living	individual	pending
env	Enwan (Edu State)	living	individual	pending
enw	Enwan (Akwa Ibom State)	living	individual	pending
enx	Enxet	living	individual	pending
eot	Beti (Côte d'Ivoire)	living	individual	pending
epi	Epie	living	individual	pending
epo	Esperanto	constructed	individual	pending
era	Eravallan	living	individual	pending
erg	Sie	living	individual	pending
erh	Eruwa	living	individual	pending
eri	Ogea	living	individual	pending
erk	South Efate	living	individual	pending
ero	Horpa	living	individual	pending
err	Erre	extinct	individual	pending
ers	Ersu	living	individual	pending
ert	Eritai	living	individual	pending
erw	Erokwanas	living	individual	pending
ese	Ese Ejja	living	individual	pending
esg	Aheri Gondi	living	individual	pending
esh	Eshtehardi	living	individual	pending
esi	North Alaskan Inupiatun	living	individual	pending
esk	Northwest Alaska Inupiatun	living	individual	pending
esl	Egypt Sign Language	living	individual	pending
esm	Esuma	extinct	individual	pending
esn	Salvadoran Sign Language	living	individual	pending
eso	Estonian Sign Language	living	individual	pending
esq	Esselen	extinct	individual	pending
ess	Central Siberian Yupik	living	individual	pending
est	Estonian	living	macrolanguage	pending
esu	Central Yupik	living	individual	pending
esy	Eskayan	living	individual	pending
etb	Etebi	living	individual	pending
etc	Etchemin	extinct	individual	pending
eth	Ethiopian Sign Language	living	individual	pending
etn	Eton (Vanuatu)	living	individual	pending
eto	Eton (Cameroon)	living	individual	pending
etr	Edolo	living	individual	pending
ets	Yekhee	living	individual	pending
ett	Etruscan	ancient	individual	pending
etu	Ejagham	living	individual	pending
etx	Eten	living	individual	pending
etz	Semimi	living	individual	pending
eus	Basque	living	individual	pending
eve	Even	living	individual	pending
evh	Uvbie	living	individual	pending
evn	Evenki	living	individual	pending
ewe	Ewe	living	individual	pending
ewo	Ewondo	living	individual	pending
ext	Extremaduran	living	individual	pending
eya	Eyak	extinct	individual	pending
eyo	Keiyo	living	individual	pending
eza	Ezaa	living	individual	pending
eze	Uzekwe	living	individual	pending
faa	Fasu	living	individual	pending
fab	Fa d'Ambu	living	individual	pending
fad	Wagi	living	individual	pending
faf	Fagani	living	individual	pending
fag	Finongan	living	individual	pending
fah	Baissa Fali	living	individual	pending
fai	Faiwol	living	individual	pending
faj	Faita	living	individual	pending
fak	Fang (Cameroon)	living	individual	pending
fal	South Fali	living	individual	pending
fam	Fam	living	individual	pending
fan	Fang (Equatorial Guinea)	living	individual	pending
fao	Faroese	living	individual	pending
fap	Paloor	living	individual	pending
far	Fataleka	living	individual	pending
fas	Persian	living	macrolanguage	seeded
fat	Fanti	living	individual	pending
fau	Fayu	living	individual	pending
fax	Fala	living	individual	pending
fay	Southwestern Fars	living	individual	pending
faz	Northwestern Fars	living	individual	pending
fbl	West Albay Bikol	living	individual	pending
fcs	Quebec Sign Language	living	individual	pending
fer	Feroge	living	individual	pending
ffi	Foia Foia	living	individual	pending
ffm	Maasina Fulfulde	living	individual	pending
fgr	Fongoro	living	individual	pending
fia	Nobiin	living	individual	pending
fie	Fyer	living	individual	pending
fif	Faifi	living	individual	pending
fij	Fijian	living	individual	pending
fil	Filipino	living	individual	pending
fin	Finnish	living	individual	pending
fip	Fipa	living	individual	pending
fir	Firan	living	individual	pending
fit	Tornedalen Finnish	living	individual	pending
fiw	Fiwaga	living	individual	pending
fkk	Kirya-Konzəl	living	individual	pending
fkv	Kven Finnish	living	individual	pending
fla	Kalispel-Pend d'Oreille	living	individual	pending
flh	Foau	living	individual	pending
fli	Fali	living	individual	pending
fll	North Fali	living	individual	pending
fln	Flinders Island	extinct	individual	pending
flr	Fuliiru	living	individual	pending
fly	Flaaitaal	living	individual	pending
fmp	Fe'fe'	living	individual	pending
fmu	Far Western Muria	living	individual	pending
fnb	Fanbak	living	individual	pending
fng	Fanagalo	living	individual	pending
fni	Fania	living	individual	pending
fod	Foodo	living	individual	pending
foi	Foi	living	individual	pending
fom	Foma	living	individual	pending
fon	Fon	living	individual	pending
for	Fore	living	individual	pending
fos	Siraya	extinct	individual	pending
fpe	Fernando Po Creole English	living	individual	pending
fqs	Fas	living	individual	pending
fra	French	living	individual	pending
frc	Cajun French	living	individual	pending
frd	Fordata	living	individual	pending
frk	Frankish	historical	individual	pending
frm	Middle French (ca. 1400-1600)	historical	individual	pending
fro	Old French (842-ca. 1400)	historical	individual	pending
frp	Arpitan	living	individual	pending
frq	Forak	living	individual	pending
frr	Northern Frisian	living	individual	pending
frs	Eastern Frisian	living	individual	pending
frt	Fortsenal	living	individual	pending
fry	Western Frisian	living	individual	pending
fse	Finnish Sign Language	living	individual	pending
fsl	French Sign Language	living	individual	pending
fss	Finland-Swedish Sign Language	living	individual	pending
fub	Adamawa Fulfulde	living	individual	pending
fuc	Pulaar	living	individual	pending
fud	East Futuna	living	individual	pending
fue	Borgu Fulfulde	living	individual	pending
fuf	Pular	living	individual	pending
fuh	Western Niger Fulfulde	living	individual	pending
fui	Bagirmi Fulfulde	living	individual	pending
fuj	Ko	living	individual	pending
ful	Fulah	living	macrolanguage	pending
fum	Fum	living	individual	pending
fun	Fulniô	living	individual	pending
fuq	Central-Eastern Niger Fulfulde	living	individual	pending
fur	Friulian	living	individual	pending
fut	Futuna-Aniwa	living	individual	pending
fuu	Furu	living	individual	pending
fuv	Nigerian Fulfulde	living	individual	pending
fuy	Fuyug	living	individual	pending
fvr	Fur	living	individual	pending
fwa	Fwâi	living	individual	pending
fwe	Fwe	living	individual	pending
gaa	Ga	living	individual	pending
gab	Gabri	living	individual	pending
gac	Mixed Great Andamanese	living	individual	pending
gad	Gaddang	living	individual	pending
gae	Guarequena	living	individual	pending
gaf	Gende	living	individual	pending
gag	Gagauz	living	individual	pending
gah	Alekano	living	individual	pending
gai	Borei	living	individual	pending
gaj	Gadsup	living	individual	pending
gak	Gamkonora	living	individual	pending
gal	Galolen	living	individual	pending
gam	Kandawo	living	individual	pending
gan	Gan Chinese	living	individual	pending
gao	Gants	living	individual	pending
gap	Gal	living	individual	pending
gaq	Gata'	living	individual	pending
gar	Galeya	living	individual	pending
gas	Adiwasi Garasia	living	individual	pending
gat	Kenati	living	individual	pending
gau	Mudhili Gadaba	living	individual	pending
gaw	Nobonob	living	individual	pending
gax	Borana-Arsi-Guji Oromo	living	individual	pending
gay	Gayo	living	individual	pending
gaz	West Central Oromo	living	individual	pending
gba	Gbaya (Central African Republic)	living	macrolanguage	pending
gbb	Kaytetye	living	individual	pending
gbd	Karajarri	living	individual	pending
gbe	Niksek	living	individual	pending
gbf	Gaikundi	living	individual	pending
gbg	Gbanziri	living	individual	pending
gbh	Defi Gbe	living	individual	pending
gbi	Galela	living	individual	pending
gbj	Bodo Gadaba	living	individual	pending
gbk	Gaddi	living	individual	pending
gbl	Gamit	living	individual	pending
gbm	Garhwali	living	individual	pending
gbn	Mo'da	living	individual	pending
gbo	Northern Grebo	living	individual	pending
gbp	Gbaya-Bossangoa	living	individual	pending
gbq	Gbaya-Bozoum	living	individual	pending
gbr	Gbagyi	living	individual	pending
gbs	Gbesi Gbe	living	individual	pending
gbu	Gagadu	living	individual	pending
gbv	Gbanu	living	individual	pending
gbw	Gabi-Gabi	living	individual	pending
gbx	Eastern Xwla Gbe	living	individual	pending
gby	Gbari	living	individual	pending
gbz	Zoroastrian Dari	living	individual	pending
gcc	Mali	living	individual	pending
gcd	Ganggalida	extinct	individual	pending
gce	Galice	extinct	individual	pending
gcf	Guadeloupean Creole French	living	individual	pending
gcl	Grenadian Creole English	living	individual	pending
gcn	Gaina	living	individual	pending
gcr	Guianese Creole French	living	individual	pending
gct	Colonia Tovar German	living	individual	pending
gda	Gade Lohar	living	individual	pending
gdb	Pottangi Ollar Gadaba	living	individual	pending
gdc	Gugu Badhun	extinct	individual	pending
gdd	Gedaged	living	individual	pending
gde	Gude	living	individual	pending
gdf	Guduf-Gava	living	individual	pending
gdg	Ga'dang	living	individual	pending
gdh	Gadjerawang	living	individual	pending
gdi	Gundi	living	individual	pending
gdj	Gurdjar	living	individual	pending
gdk	Gadang	living	individual	pending
gdl	Dirasha	living	individual	pending
gdm	Laal	living	individual	pending
gdn	Umanakaina	living	individual	pending
gdo	Ghodoberi	living	individual	pending
gdq	Mehri	living	individual	pending
gdr	Wipi	living	individual	pending
gds	Ghandruk Sign Language	living	individual	pending
gdt	Kungardutyi	extinct	individual	pending
gdu	Gudu	living	individual	pending
gdx	Godwari	living	individual	pending
gea	Geruma	living	individual	pending
geb	Kire	living	individual	pending
gec	Gboloo Grebo	living	individual	pending
ged	Gade	living	individual	pending
gef	Gerai	living	individual	pending
geg	Gengle	living	individual	pending
geh	Hutterite German	living	individual	pending
gei	Gebe	living	individual	pending
gej	Gen	living	individual	pending
gek	Ywom	living	individual	pending
gel	ut-Ma'in	living	individual	pending
geq	Geme	living	individual	pending
ges	Geser-Gorom	living	individual	pending
gev	Eviya	living	individual	pending
gew	Gera	living	individual	pending
gex	Garre	living	individual	pending
gey	Enya	living	individual	pending
gez	Geez	ancient	individual	pending
gfk	Patpatar	living	individual	pending
gft	Gafat	extinct	individual	pending
gga	Gao	living	individual	pending
ggb	Gbii	living	individual	pending
ggd	Gugadj	extinct	individual	pending
gge	Gurr-goni	living	individual	pending
ggg	Gurgula	living	individual	pending
ggk	Kungarakany	extinct	individual	pending
ggl	Ganglau	living	individual	pending
ggt	Gitua	living	individual	pending
ggu	Gagu	living	individual	pending
ggw	Gogodala	living	individual	pending
gha	Ghadamès	living	individual	pending
ghc	Hiberno-Scottish Gaelic	historical	individual	pending
ghe	Southern Ghale	living	individual	pending
ghh	Northern Ghale	living	individual	pending
ghk	Geko Karen	living	individual	pending
ghl	Ghulfan	living	individual	pending
ghn	Ghanongga	living	individual	pending
gho	Ghomara	extinct	individual	pending
ghr	Ghera	living	individual	pending
ghs	Guhu-Samane	living	individual	pending
ght	Kuke	living	individual	pending
gia	Kija	living	individual	pending
gib	Gibanawa	living	individual	pending
gic	Gail	living	individual	pending
gid	Gidar	living	individual	pending
gie	Gaɓogbo	living	individual	pending
gig	Goaria	living	individual	pending
gih	Githabul	living	individual	pending
gil	Gilbertese	living	individual	pending
gim	Gimi (Eastern Highlands)	living	individual	pending
gin	Hinukh	living	individual	pending
gip	Gimi (West New Britain)	living	individual	pending
giq	Green Gelao	living	individual	pending
gir	Red Gelao	living	individual	pending
gis	North Giziga	living	individual	pending
git	Gitxsan	living	individual	pending
giu	Mulao	living	individual	pending
giw	White Gelao	living	individual	pending
gix	Gilima	living	individual	pending
giy	Giyug	living	individual	pending
giz	South Giziga	living	individual	pending
gji	Geji	living	individual	pending
gjk	Kachi Koli	living	individual	pending
gjm	Gunditjmara	extinct	individual	pending
gjn	Gonja	living	individual	pending
gjr	Gurindji Kriol	living	individual	pending
gju	Gujari	living	individual	pending
gka	Guya	living	individual	pending
gkd	Magɨ (Madang Province)	living	individual	pending
gke	Ndai	living	individual	pending
gkn	Gokana	living	individual	pending
gko	Kok-Nar	extinct	individual	pending
gkp	Guinea Kpelle	living	individual	pending
gku	ǂUngkue	extinct	individual	pending
gla	Scottish Gaelic	living	individual	pending
glc	Bon Gula	living	individual	pending
gld	Nanai	living	individual	pending
gle	Irish	living	individual	pending
glg	Galician	living	individual	pending
