code	name	type	scope	status
aiq	Aimaq	living	individual	pending
air	Airoran	living	individual	pending
ait	Arikem	extinct	individual	pending
aiw	Aari	living	individual	pending
aix	Aighon	living	individual	pending
aiy	Ali	living	individual	pending
aja	Aja (South Sudan)	living	individual	pending
ajg	Aja (Benin)	living	individual	pending
aji	Ajië	living	individual	pending
ajn	Andajin	living	individual	pending
ajp	South Levantine Arabic	living	individual	pending
ajt	Judeo-Tunisian Arabic	living	individual	pending
aju	Judeo-Moroccan Arabic	living	individual	pending
ajw	Ajawa	extinct	individual	pending
ajz	Amri Karbi	living	individual	pending
aka	Akan	living	macrolanguage	pending
akb	Batak Angkola	living	individual	pending
akc	Mpur	living	individual	pending
akd	Ukpet-Ehom	living	individual	pending
ake	Akawaio	living	individual	pending
akf	Akpa	living	individual	pending
akg	Anakalangu	living	individual	pending
akh	Angal Heneng	living	individual	pending
aki	Aiome	living	individual	pending
akj	Aka-Jeru	extinct	individual	pending
akk	Akkadian	ancient	individual	pending
akl	Aklanon	living	individual	pending
akm	Aka-Bo	extinct	individual	pending
ako	Akurio	living	individual	pending
akp	Siwu	living	individual	pending
akq	Ak	living	individual	pending
akr	Araki	living	individual	pending
aks	Akaselem	living	individual	pending
akt	Akolet	living	individual	pending
aku	Akum	living	individual	pending
akv	Akhvakh	living	individual	pending
akw	Akwa	living	individual	pending
akx	Aka-Kede	extinct	individual	pending
aky	Aka-Kol	extinct	individual	pending
akz	Alabama	living	individual	pending
ala	Alago	living	individual	pending
alc	Qawasqar	living	individual	pending
ald	Alladian	living	individual	pending
ale	Aleut	living	individual	pending
alf	Alege	living	individual	pending
alh	Alawa	living	individual	pending
ali	Amaimon	living	individual	pending
alj	Alangan	living	individual	pending
alk	Alak	living	individual	pending
all	Allar	living	individual	pending
alm	Amblong	living	individual	pending
aln	Gheg Albanian	living	individual	pending
alo	Larike-Wakasihu	living	individual	pending
alp	Alune	living	individual	pending
alq	Algonquin	living	individual	pending
alr	Alutor	living	individual	pending
als	Tosk Albanian	living	individual	pending
alt	Southern Altai	living	individual	pending
alu	'Are'are	living	individual	pending
alw	Alaba-K’abeena	living	individual	pending
alx	Amol	living	individual	pending
aly	Alyawarr	living	individual	pending
alz	Alur	living	individual	pending
ama	Amanayé	extinct	individual	pending
amb	Ambo	living	individual	pending
amc	Amahuaca	living	individual	pending
ame	Yanesha'	living	individual	pending
amf	Hamer-Banna	living	individual	pending
amg	Amurdak	living	individual	pending
amh	Amharic	living	individual	pending
ami	Amis	living	individual	pending
amj	Amdang	living	individual	pending
amk	Ambai	living	individual	pending
aml	War-Jaintia	living	individual	pending
amm	Ama (Papua New Guinea)	living	individual	pending
amn	Amanab	living	individual	pending
amo	Amo	living	individual	pending
amp	Alamblak	living	individual	pending
amq	Amahai	living	individual	pending
amr	Amarakaeri	living	individual	pending
ams	Southern Amami-Oshima	living	individual	pending
amt	Amto	living	individual	pending
amu	Guerrero Amuzgo	living	individual	pending
amv	Ambelau	living	individual	pending
amw	Western Neo-Aramaic	living	individual	pending
amx	Anmatyerre	living	individual	pending
amy	Ami	living	individual	pending
amz	Atampaya	extinct	individual	pending
ana	Andaqui	extinct	individual	pending
anb	Andoa	extinct	individual	pending
anc	Ngas	living	individual	pending
and	Ansus	living	individual	pending
ane	Xârâcùù	living	individual	pending
anf	Animere	living	individual	pending
ang	Old English (ca. 450-1100)	historical	individual	pending
anh	Nend	living	individual	pending
ani	Andi	living	individual	pending
anj	Anor	living	individual	pending
ank	Goemai	living	individual	pending
anl	Anu-Hkongso Chin	living	individual	pending
anm	Anal	living	individual	pending
ann	Obolo	living	individual	pending
ano	Andoque	living	individual	pending
anp	Angika	living	individual	pending
anq	Jarawa (India)	living	individual	pending
anr	Andh	living	individual	pending
ans	Anserma	extinct	individual	pending
ant	Antakarinya	living	individual	pending
anu	Anuak	living	individual	pending
anv	Denya	living	individual	pending
anw	Anaang	living	individual	pending
anx	Andra-Hus	living	individual	pending
any	Anyin	living	individual	pending
anz	Anem	living	individual	pending
aoa	Angolar	living	individual	pending
aob	Abom	living	individual	pending
aoc	Pemon	living	individual	pending
aod	Andarum	living	individual	pending
